Name,Phone number 1,Phone number 2,address
Biryani By Kilo,+91 9555212212, +91 9212199888,"N 79, 1st Floor, Pratap Building, N Block, Connaught Circus, Connaught Place, New Delhi"
Biryani Blues,+91 8010801000,,"Showroom 9, Scindia House, Connaught Circus, Connaught Place, New Delhi"
KFC,011 33994444,,"6 & 7, Scindia House, Outer Circle, Connaught Place, New Delhi"
Embassy,011 23416434, +91 9311085132,"11-D, Connaught Place, New Delhi"
The Big Chill Cafe,011 41757075,,"First Floor, B 40, The Colonnade, Opposite Gate 2 Rajiv Chowk Metro Station, Connaught Place, New Delhi"
Ardor 2.1,+91 9811766888,,"N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi"
Nando's,+91 7042666029, +91 8448776045,"F-29, 30A, Ground Floor, Malhotra Building, Connaught Place, New Delhi"
Wenger's,011 23324403, 011 23324594,"A 16, Connaught Place, New Delhi"
The G.T. Road,+91 9871121428,,"M 39, Outer Circle, Connaught Place, New Delhi"
Xero Degrees,+91 9711440836,,"L-23/9, Middle Circle, Connaught Place, New Delhi"
Theobroma,+91 8800018152, +91 8800018153,"D-28, Ground Floor, Mezzanine, Connaught Place, New Delhi"
Yeti - The Himalayan Kitchen,+91 9811815452, +91 7838712103,"B41, B Block, Inner Circle, Connaught Place, New Delhi"
Chili's Grill & Bar,+91 8377874000,,"M-9, Outer Circle, Connaught Place, New Delhi"
Farzi Cafe,+91 9599889700, +91 9599889701,"38/39, Level 1, Block E, Inner Circle, Connaught Place, New Delhi"
Chai Point,011 49869545, +91 8880141000,"44, N Block, Connaught Place, New Delhi"
Haldiram's,011 47685300, 011 47685302,"M-48, 48/2, 48/3, Connaught Place, New Delhi"
Natural Ice Cream,011 43785502, +91 8368436163,"L-8, L Block, Outer Circle, Connaught Place, New Delhi"
Local,+91 9599553145, +91 9599553176,"11, KG Marg, Scindia House, Connaught Place, New Delhi"
Domino's Pizza,011 47114500, 18602100000,"M-42, Connaught Place, New Delhi"
Sandoz,+91 9555343434, +91 9555343404,"P-23/90, Connaught Place, New Delhi"
Snack N Shakes - Healthy Food Counter,+91 9810218375,,"Shop 63, Barakhamba Lane, Opposite Metro Station Gate 1, Connaught Place, New Delhi"
Barbeque Nation,080 61756005,,"2nd Floor, Munshilal Building, Block N, Outer Circle, Connaught Place, New Delhi"
Starbucks Coffee,Not available for this place,,"A-1, Hamilton House, Inner Circle, Connaught Place, New Delhi"
GoGourmet,+91 8882921945,,"18-20, Hindustan Times Buliding, KG Marg, Connaught Place, New Delhi"
My Bar Headquarters,011 43583313, +91 7838271741,"Shop 49, 2nd Floor, Connaught Place, New Delhi"
Chaayos - Meri Wali Chai,18001202424,,"F-14/15, 1st Floor, Mezzanine, F Block, Inner Circle, Connaught Place, New Delhi"
Saravana Bhavan,011 28844305, 011 23345577,"P-13, Connaught Circus, Connaught Place, New Delhi"
Jain Chawal Wale,+91 9911177118,,"P-1/190, Connaught Circus, Connaught Place, New Delhi"
Parikrama - The Revolving Restaurant,011 23721616, +91 9311391616,"22, Antriksh Bhavan, Kasturba Gandhi Marg, Connaught Place, New Delhi"
Nizam's Kathi Kabab,011 23713078, 011 41513461,"H-5/6, Plaza Building, Connaught Place, New Delhi"
Kake Da Hotel,011 23411580,,"67, Municipal Market, Connaught Circle, Connaught Place, New Delhi"
Dhaba - Estd 1986 Delhi,+91 8588835509,,"B 42, 1st Floor, Connaught Place, New Delhi"
Burger King,011 43509889, +91 9899956082,"E-8, Inner Circle, Connaught Place, New Delhi"
Tamra - Shangri-La's - Eros Hotel,011 41191010, 011 41191011,"Shangri-La's - Eros Hotel, 19, Level 1, Ashoka Road, Connaught Place, New Delhi"
Taco Bell,+91 7428535745,,"N 11, Ground Floor & Mezzanine Floor, Outer Circle, Block N, Connaught Place, New Delhi"
McDonald's,+91 9873162936,,"17, Regal Building, Connaught Place, New Delhi"
Lazeez Affaire,+91 9999679264, +91 9999679268,"K 12, Outer Circle, Connaught Place, New Delhi"
Veda,011 41513535, 011 41513940,"H-27, Outer Circle, Connaught Place, New Delhi"
Fuji Japanese Restaurant,+91 9311563535, 011 47472396,"M-41/2, Speedbird House, Middle Circle, Connaught Place, New Delhi"
United Coffee House,011 23411697, 011 23416075,"E-15, Connaught Place, New Delhi"
Gola Sizzlers - Naresh Gola Group,011 23415660, 011 23414838,"K-24, Opposite PVR Plaza Cinema, Connaught Place, New Delhi"
Warehouse Cafe,+91 9999537128, +91 9999900131,"D 19/20, D Block, Inner Circle, Near Rajiv Chowk Metro Station, Gate 3, Connaught Place, New Delhi"
Unplugged Courtyard,+91 9999396662, +91 9999396661,"23/7, L Block, Middle Circle, Connaught Place, New Delhi"
Madras Coffee House,011 23363074,,"P-5/90, Outer Circle, Connaught Place, New Delhi"
Ministry Of Beer,+91 8800012061, +91 8800119277,"M 44, Outer Circle, Connaught Place, New Delhi"
Ministry Of Beer,+91 8800012061, +91 8800119277,"M 44, Outer Circle, Connaught Place, New Delhi"
Cremeborne,+91 9540217076,,"57, Municipal Market, Connaught Circle, Connaught Place, New Delhi"
Berco's,011 43751100, 011 43751111,"E-42 & 43, Inner Circle, Connaught Place, New Delhi"
Biryani Badshah,011 41088220, +91 9315616198,"K-14, Connaught Cir, Block K, Connaught Place, New Delhi"
Ghoomar Traditional Thali Restaurant,+91 9810703703, 011 40348888,"K 18, K 22, Opposite PVR Plaza, Connaught Place, New Delhi"
The Junkyard Cafe,+91 9599947642, +91 9599947643,"91, 2nd Floor, N Block, Connaught Place, New Delhi"
Khan Chacha,+91 9205592804, 011 43036111,"D-3, Connaught Place, New Delhi"
Vega Pure Vegetarian - Hotel Alka Classic,+91 9811835770, 011 23344328,"Hotel Alka Classic, Outer Circle, Connaught Place, New Delhi"
Hira Sweets,011 23418632, +91 9136587253,"K 19/21, Connaught Place, New Delhi"
Bagundi,011 40509889, +91 9319107711,"M-14, Outer Circle, Opposite Fire Station, Connaught Place, New Delhi"
Bhape Da Hotel,+91 9811921616,,"75, Municipal Market, Connaught Place, New Delhi"
The Beer Cafe - BIGGIE,011 41564327, +91 8929188554,"D-2, Inner Circle, Connaught Place, New Delhi"
Handi Chhadeyan Di,+91 9667677427, +91 9811929427,"59, Municipal Market, Outer Circle, Connaught Place, New Delhi"
PIND BALLUCHI,+91 9650494994, +91 8010202020,"13, Regal Building, Connaught Place, New Delhi"
Kill The Bill,011 40347913,,"F-14/15, 1st Floor, Middle Circle, Connaught Place, New Delhi"
38 Barracks,+91 9717304098, +91 9717304083,"M-38, Outer Circle, Opposite Shankar Market, Connaught Place, New Delhi"
The Imperial Spice,011 40044600, 011 40044700,"89/90, M Block, Outer Circle, Connaught Place, New Delhi"
Naivedyam,011 40591444, +91 8130017677,"P15/90, Connaught Place, New Delhi"
